	Exit	Confidence	Class
	0	0.9803
	0	0.9986
	0	0.7362
	0	0.9645
	0	0.9645
	0	0.3986
	0	1.0000
	0	0.9717
	0	0.9971
	0	0.9953
	0	0.9919
	0	0.6258
	0	0.9994
	0	0.9998
	0	0.6269
	0	0.9982
	0	0.9974
	0	0.9425
	0	0.9752
	0	0.9998
	0	0.7586
	0	0.9917
	0	0.9998
	0	0.9954
	0	0.8710
	0	0.9762
	0	0.9734
	0	0.8088
	0	0.9272
	0	0.7919
	0	0.9717
	0	0.8795
	0	0.9381
	0	0.9910
	0	0.9779
	0	0.5924
	0	0.7162
	0	0.9898
	0	0.9256
	0	0.9898
	0	0.8644
	0	0.9999
	0	0.6686
	0	0.8934
	0	0.9992
	0	0.9786
	0	0.8802
	0	0.5132
	0	0.9741
	0	0.9277
	0	0.8597
	0	0.9839
	0	0.9986
	0	0.4635
	0	0.8317
	0	0.3930
	0	0.7602
	0	0.3978
	0	0.9992
	0	0.9968
	0	0.9858
	0	0.9871
	0	0.9866
	0	0.9984
	0	0.9208
	0	0.8608
	0	0.9994
	0	0.6909
	0	0.4387
	0	0.9985
	0	0.8600
	0	0.9428
	0	0.9985
	0	0.9216
	0	0.9968
	0	0.9998
	0	0.9917
	0	0.9772
	0	0.9738
	0	0.9951
	0	0.9597
	0	0.8407
	0	0.9993
	0	0.9300
	0	0.6541
	0	0.7611
	0	0.9953
	0	0.9990
	0	0.8414
	0	0.9881
	0	0.8438
	0	0.9998
	0	0.5194
	0	0.9867
	0	0.9983
	0	0.5261
	0	0.8542
	0	0.9163
	0	0.9980
	0	0.9857
	0	0.5345
	0	0.9416
	0	0.5986
	0	0.6324
	0	0.9893
	0	0.5078
	0	0.9967
	0	0.4209
	0	0.9978
	0	0.7502
	0	0.9438
	0	0.9460
	0	0.9953
	0	0.9414
	0	0.5943
	0	0.9715
	0	0.9597
	0	0.8732
	0	0.9885
	0	0.6345
	0	0.7239
	0	0.9654
	0	0.8307
	0	0.8950
	0	0.9005
	0	0.9924
	0	0.8768
	0	0.9963
	0	0.9288
	0	0.9826
	0	0.9474
	0	0.9827
	0	1.0000
	0	0.9916
	0	0.9999
	0	0.8392
	0	0.9386
	0	0.3143
	0	0.4765
	0	0.3430
	0	0.9884
	0	0.9894
	0	0.9967
	0	0.9977
	0	0.9706
	0	0.9816
	0	0.9985
	0	0.8073
	0	1.0000
	0	0.9759
	0	0.9891
	0	0.9950
	0	0.6706
	0	0.8938
	0	0.9990
	0	0.9968
	0	0.7661
	0	0.8260
	0	0.3962
	0	0.9972
	0	0.9784
	0	0.9443
	0	0.6847
	0	0.4600
	0	0.9683
	0	0.8957
	0	0.9986
	0	0.7539
	0	0.8904
	0	0.9131
	0	0.9878
	0	0.9953
	0	0.9998
	0	0.5421
	0	0.9605
	0	0.7958
	0	0.9877
	0	0.9929
	0	0.9978
	0	0.7088
	0	0.6597
	0	0.9110
	0	0.9979
	0	0.9843
	0	0.9983
	0	0.9987
	0	0.4861
	0	0.9181
	0	1.0000
	0	0.9548
	0	0.9890
	0	0.9984
	0	0.9966
	0	0.9058
	0	0.9982
	0	0.8788
	0	0.7032
	0	0.9821
	0	0.9912
	0	0.9970
	0	0.2849
	0	0.8707
	0	0.9992
	0	0.9947
	0	0.9846
	0	0.8919
	0	0.7988
	0	0.9977
	0	0.6257
	0	0.7914
	0	0.5206
	0	0.9957
	0	0.9495
	0	0.9990
	0	0.7562
	0	0.9956
	0	0.9824
	0	0.7471
	0	0.9999
	0	0.5779
	0	0.9066
	0	0.9216
	0	0.6949
	0	0.6840
	0	0.4583
	0	0.9344
	0	0.9878
	0	0.7826
	0	0.9811
	0	0.9536
	0	0.9076
	0	0.9540
	0	0.9244
	0	0.9674
	0	0.8601
	0	0.4606
	0	0.6726
	0	0.9534
	0	0.6578
	0	0.5742
	0	0.9973
	0	0.9546
	0	0.9837
	0	0.9898
	0	0.5379
	0	0.8947
	0	0.9989
	0	0.9963
	0	0.6730
	0	0.7206
	0	0.9993
	0	0.9407
	0	0.9969
	0	0.5431
	0	0.6970
	0	0.9983
	0	0.9880
	0	0.5532
	0	0.9660
	0	0.9988
	0	0.7127
	0	0.9999
	0	0.3760
	0	0.8656
	0	0.9824
	0	0.9801
	0	0.9864
	0	0.9732
	0	0.9917
	0	0.6965
	0	0.7754
	0	0.8377
	0	0.8909
	0	0.9959
	0	0.9990
	0	0.9955
	0	0.9854
	0	0.8322
	0	0.9358
	0	0.9937
	0	0.9857
	0	0.9983
	0	0.9187
	0	0.4603
	0	0.8540
	0	0.9764
	0	0.9809
	0	0.8983
	0	0.9679
	0	0.8917
	0	0.6931
	0	0.9943
	0	0.6063
	0	0.7935
	0	0.9995
	0	0.9969
	0	0.9514
	0	0.6229
	0	0.9994
	0	0.4102
	0	0.9996
	0	0.9340
	0	0.7562
	0	0.8899
	0	0.9841
	0	0.9976
	0	0.9619
	0	0.9488
	0	0.9933
	0	0.9987
	0	0.8644
	0	0.9832
	0	0.7424
	0	0.9995
	0	0.9838
	0	0.5950
	0	0.9684
	0	0.4930
	0	0.4576
	0	0.9434
	0	0.9930
	0	0.9328
	0	0.5108
	0	0.8825
	0	0.9796
	0	0.8678
	0	0.9941
	0	0.7700
	0	0.9490
	0	0.9976
	0	0.4647
	0	0.7293
	0	0.9941
	0	0.9969
	0	0.9999
	0	0.9916
	0	0.5120
	0	0.9831
	0	0.5531
	0	0.9843
	0	0.5361
	0	0.9956
	0	0.8420
	0	0.9378
	0	0.8749
	0	0.9220
	0	0.8990
	0	0.6397
	0	0.9309
	0	0.9978
	0	0.9920
	0	0.9778
	0	0.9730
	0	0.6987
	0	0.9895
	0	0.9799
	0	0.9948
	0	0.9970
	0	0.9200
	0	0.9999
	0	0.9982
	0	0.8711
	0	0.8152
	0	0.8741
	0	0.9407
	0	0.9980
	0	0.4157
	0	0.9582
	0	0.8452
	0	0.7404
	0	0.9443
	0	0.4931
	0	0.9939
	0	0.4413
	0	0.9995
	0	0.7027
	0	0.5639
	0	0.8750
	0	0.9999
	0	0.9040
	0	0.8621
	0	0.9127
	0	0.6840
	0	0.9992
	0	0.8674
	0	0.9964
	0	0.7952
	0	0.9834
	0	0.5999
	0	0.9724
	0	0.9903
	0	0.8882
	0	0.9140
	0	0.9901
	0	0.8181
	0	0.7890
	0	0.6304
	0	0.5673
	0	0.9594
	0	0.6359
	0	0.9955
	0	0.9765
	0	0.7735
	0	0.9332
	0	0.7601
	0	0.8714
	0	0.7537
	0	0.9711
	0	0.9961
	0	0.9996
	0	0.9946
	0	0.8416
	0	0.9992
	0	0.9519
	0	0.7829
	0	0.7450
	0	0.3686
	0	1.0000
	0	0.8981
	0	0.9980
	0	0.9440
	0	0.9902
	0	0.9661
	0	0.9957
	0	0.6860
	0	0.9851
	0	0.9837
	0	0.9892
	0	0.9725
	0	0.9969
	0	1.0000
	0	0.7205
	0	0.9980
	0	0.9993
	0	0.8767
	0	0.6581
	0	0.6380
	0	0.9856
	0	0.9595
	0	0.9646
	0	0.9967
	0	0.8803
	0	0.9046
	0	0.9829
	0	0.9999
	0	0.7214
	0	0.9924
	0	0.8858
	0	0.9604
	0	0.9968
	0	0.7191
	0	0.4194
	0	0.9998
	0	0.8675
	0	0.7492
	0	0.4585
	0	0.9973
	0	0.9235
	0	0.9306
	0	0.6614
	0	0.9680
	0	0.7683
	0	0.9993
	0	0.9058
	0	0.7269
	0	0.9896
	0	0.9638
	0	0.9096
	0	0.9802
	0	0.9659
	0	1.0000
	0	0.9991
	0	0.9489
	0	0.8455
	0	0.9917
	0	0.9974
	0	0.9969
	0	0.9529
	0	0.8821
	0	0.8741
	0	0.8416
	0	0.7223
	0	0.8144
	0	0.7292
	0	0.9960
	0	0.9991
	0	0.8573
	0	0.9853
	0	0.3405
	0	0.9881
	0	0.9093
	0	0.7439
	0	0.9999
	0	0.7970
	0	0.4918
	0	0.3949
	0	0.9966
	0	0.9913
	0	0.8276
	0	0.6244
	0	0.6704
	0	0.9811
	0	0.5628
	0	0.9368
	0	0.5422
	0	0.9992
	0	0.9983
	0	0.8881
	0	0.6548
	0	0.6656
	0	0.7376
	0	0.9976
	0	0.9951
	0	0.9393
	0	0.9928
	0	0.9052
	0	0.9564
	0	0.9991
	0	0.9978
	0	0.9986
	0	0.7946
	0	0.5678
	0	0.9874
	0	0.7718
	0	0.8315
	0	0.8245
	0	0.9869
	0	0.7856
	0	0.7784
	0	0.5730
	0	0.5694
	0	0.4352
	0	0.9687
	0	0.6133
	0	0.9941
	0	0.9630
	0	0.4250
	0	0.8181
	0	0.9941
	0	0.9599
	0	0.8498
	0	0.8562
	0	0.9540
	0	0.9954
	0	0.6907
	0	0.7195
	0	0.7848
	0	0.9986
	0	0.4101
	0	0.9979
	0	0.9823
	0	0.9988
	0	0.9416
	0	0.6728
	0	0.9890
	0	0.9715
	0	0.6748
	0	0.9974
	0	0.9167
	0	0.9014
	0	0.9474
	0	0.6595
	0	0.5764
	0	0.9989
	0	0.9839
	0	0.7848
	0	0.9989
	0	0.9166
	0	0.9995
	0	0.9949
	0	1.0000
	0	0.9958
	0	0.9802
	0	0.9415
	0	0.9236
