epoch	lr	train_loss	val_loss	val1_prec1	val2_prec1	val3_prec1	val4_prec1	val5_prec1
	0.0000	0.1000	7.8154	6.9559	48.1000	50.8400	52.5800	52.5000	50.4800
	1.0000	0.1000	5.8057	5.7275	55.4800	59.6600	60.4200	61.2400	58.5800
	2.0000	0.1000	4.8154	4.8666	63.0400	64.9400	66.5400	67.9400	66.9800
	3.0000	0.1000	4.2494	5.2218	60.5400	59.6600	65.0400	67.1400	68.1000
	4.0000	0.1000	3.7497	3.8668	67.8800	71.4600	74.3400	76.5000	76.0000
	5.0000	0.1000	3.4126	4.1306	64.4800	70.0400	74.0000	74.4200	76.0600
	6.0000	0.1000	3.1518	4.2906	66.6200	69.8200	72.7000	73.7600	73.1000
	7.0000	0.1000	2.9419	3.1923	72.6400	77.5200	78.8400	81.0000	81.5000
	8.0000	0.1000	2.7695	3.3676	71.1400	76.2800	77.7600	78.9800	79.2000
	9.0000	0.1000	2.6645	3.1302	73.2000	76.2400	80.1000	79.8400	81.4800
	10.0000	0.1000	2.4977	2.9685	74.4000	77.3400	80.4800	82.0800	82.5200
	11.0000	0.1000	2.4102	2.7851	75.7600	79.0400	82.0800	83.4000	83.7000
	12.0000	0.1000	2.3165	2.9287	74.3000	78.4800	82.3000	83.1800	82.7800
	13.0000	0.0100	1.9103	2.3354	79.5200	82.0600	85.1600	86.6000	87.0800
	14.0000	0.0100	1.7877	2.2709	79.7800	83.0800	85.8400	88.1000	88.2600
	15.0000	0.0100	1.7365	2.2112	79.5800	82.6000	85.7000	87.2400	88.2600
	16.0000	0.0100	1.6921	2.1769	80.9000	83.6800	86.6000	88.1000	88.2200
	17.0000	0.0100	1.6575	2.1708	80.0400	82.6200	86.1000	87.9800	88.7200
	18.0000	0.0100	1.6247	2.1768	80.5400	83.1000	86.3800	87.9000	88.8800
	19.0000	0.0010	1.5741	2.1578	80.1200	82.9800	86.4800	87.8400	88.4400
	20.0000	0.0010	1.5568	2.1459	81.0200	83.6800	86.2400	87.7200	88.8400
	21.0000	0.0010	1.5535	2.1467	80.2600	83.2600	86.2600	87.7600	88.5000
	22.0000	0.0010	1.5466	2.1332	80.3000	83.2600	86.7600	88.1600	88.9400
	23.0000	0.0010	1.5446	2.1108	80.3000	83.5000	87.0400	88.3000	88.9800
	24.0000	0.0010	1.5290	2.0978	80.9600	83.6600	86.7000	88.3400	88.9600
