epoch	lr	train_loss	val_loss	val1_prec1	val2_prec1	val3_prec1	val4_prec1	val5_prec1
	0.0000	0.1000	7.8659	6.7366	45.6800	49.9200	52.1600	52.6000	53.0800
	1.0000	0.1000	5.6839	5.6230	53.1000	60.8600	61.1400	62.2000	59.8200
	2.0000	0.1000	4.7164	5.2710	59.6200	63.3600	65.8600	65.6800	63.4600
	3.0000	0.1000	4.1349	4.1072	65.3600	69.4600	73.7200	73.8400	73.8800
	4.0000	0.1000	3.6757	3.9085	66.5800	70.2600	74.9600	74.8200	74.8200
	5.0000	0.1000	3.3783	3.8406	68.2600	73.2800	74.0800	75.6400	76.4200
	6.0000	0.1000	3.1446	3.6264	68.5800	74.5800	77.6000	78.1200	77.2400
	7.0000	0.1000	2.9257	3.4553	71.9200	76.5000	77.6000	78.0400	77.1600
	8.0000	0.1000	2.7876	3.4742	72.7600	74.8800	77.0400	77.9400	78.4000
	9.0000	0.1000	2.6136	3.3162	72.3600	74.9200	78.6200	78.9200	79.3600
	10.0000	0.1000	2.5283	3.0878	74.1200	77.8000	80.1000	80.8600	81.4600
	11.0000	0.1000	2.4410	3.0013	76.2400	78.9800	79.9200	81.4400	81.0800
	12.0000	0.1000	2.3488	2.9713	75.3400	79.2000	81.3000	82.0200	80.6200
	13.0000	0.0100	1.9573	2.2934	79.6200	82.2200	85.4200	86.6800	86.6800
	14.0000	0.0100	1.8225	2.2628	79.4400	82.5200	85.5200	86.3600	86.8600
	15.0000	0.0100	1.7683	2.2319	80.3000	83.0600	86.1400	87.3600	87.6800
	16.0000	0.0100	1.7279	2.1964	80.3600	83.3200	85.9200	87.5400	87.6400
	17.0000	0.0100	1.6886	2.2116	80.2000	83.1400	85.9400	87.4800	87.6600
	18.0000	0.0100	1.6567	2.1719	80.0000	83.2000	86.5200	87.5400	88.0400
	19.0000	0.0010	1.5977	2.1487	80.0800	84.1400	86.4400	87.7400	88.2600
	20.0000	0.0010	1.5928	2.1539	80.4200	83.2000	86.0600	87.0000	88.3600
	21.0000	0.0010	1.5848	2.1564	80.2800	83.5000	86.1200	87.6600	87.9200
	22.0000	0.0010	1.5905	2.1777	79.9800	83.3200	86.2600	87.6200	88.0800
	23.0000	0.0010	1.5699	2.1379	80.2600	83.5400	86.5200	88.2400	88.4200
	24.0000	0.0010	1.5651	2.1340	80.6400	83.3000	86.4600	87.8800	88.1400
